artist,song,bpm,has_drums,n_drum_notes,n_total_tracks,filepath
ABC,4 Ever 2 Gether.mid,89.99995500002248,True,3214,11,/Users/donghyunhahn/Desktop/spring 2026/cse 153/Assignment 2/data/clean_midi/ABC/4 Ever 2 Gether.mid
ABC,"Look of Love, Part 1.mid",120.99994353335967,True,1714,16,"/Users/donghyunhahn/Desktop/spring 2026/cse 153/Assignment 2/data/clean_midi/ABC/Look of Love, Part 1.mid"
ABC,Poison Arrow.mid,126.00012600012602,True,2263,14,/Users/donghyunhahn/Desktop/spring 2026/cse 153/Assignment 2/data/clean_midi/ABC/Poison Arrow.mid
Bronski Beat,Small Town Boy.mid,126.99998518333504,True,2931,12,/Users/donghyunhahn/Desktop/spring 2026/cse 153/Assignment 2/data/clean_midi/Bronski Beat/Small Town Boy.mid
Culture Club,Church of the Poison Mind.mid,130.00013000013,True,2533,14,/Users/donghyunhahn/Desktop/spring 2026/cse 153/Assignment 2/data/clean_midi/Culture Club/Church of the Poison Mind.mid
Culture Club,Do You Really Want to Hurt Me.1.mid,82.00000693333426,True,1538,16,/Users/donghyunhahn/Desktop/spring 2026/cse 153/Assignment 2/data/clean_midi/Culture Club/Do You Really Want to Hurt Me.1.mid
Culture Club,Do You Really Want to Hurt Me.mid,104.00001386666852,True,1538,16,/Users/donghyunhahn/Desktop/spring 2026/cse 153/Assignment 2/data/clean_midi/Culture Club/Do You Really Want to Hurt Me.mid
Depeche Mode,Barrel Of A Gun.mid,82.9999502000299,True,2170,14,/Users/donghyunhahn/Desktop/spring 2026/cse 153/Assignment 2/data/clean_midi/Depeche Mode/Barrel Of A Gun.mid
Depeche Mode,Black Celebration.1.mid,120.0,True,3185,6,/Users/donghyunhahn/Desktop/spring 2026/cse 153/Assignment 2/data/clean_midi/Depeche Mode/Black Celebration.1.mid
Depeche Mode,Black Celebration.2.mid,120.0,True,3185,15,/Users/donghyunhahn/Desktop/spring 2026/cse 153/Assignment 2/data/clean_midi/Depeche Mode/Black Celebration.2.mid
Depeche Mode,Black Celebration.3.mid,120.0,True,3185,15,/Users/donghyunhahn/Desktop/spring 2026/cse 153/Assignment 2/data/clean_midi/Depeche Mode/Black Celebration.3.mid
Depeche Mode,Black Celebration.mid,120.0,True,3185,15,/Users/donghyunhahn/Desktop/spring 2026/cse 153/Assignment 2/data/clean_midi/Depeche Mode/Black Celebration.mid
Depeche Mode,Blasphemous Rumours.1.mid,109.99990833340973,True,988,4,/Users/donghyunhahn/Desktop/spring 2026/cse 153/Assignment 2/data/clean_midi/Depeche Mode/Blasphemous Rumours.1.mid
Depeche Mode,Blasphemous Rumours.2.mid,110.00011000011,True,988,5,/Users/donghyunhahn/Desktop/spring 2026/cse 153/Assignment 2/data/clean_midi/Depeche Mode/Blasphemous Rumours.2.mid
Depeche Mode,Blasphemous Rumours.mid,110.00011000011,True,988,4,/Users/donghyunhahn/Desktop/spring 2026/cse 153/Assignment 2/data/clean_midi/Depeche Mode/Blasphemous Rumours.mid
Depeche Mode,Boys Say Go!.mid,137.0000639333632,True,1827,10,/Users/donghyunhahn/Desktop/spring 2026/cse 153/Assignment 2/data/clean_midi/Depeche Mode/Boys Say Go!.mid
Depeche Mode,But Not Tonight.mid,128.0000725334107,True,1536,12,/Users/donghyunhahn/Desktop/spring 2026/cse 153/Assignment 2/data/clean_midi/Depeche Mode/But Not Tonight.mid
Depeche Mode,Dream On.mid,126.99998518333504,True,2856,9,/Users/donghyunhahn/Desktop/spring 2026/cse 153/Assignment 2/data/clean_midi/Depeche Mode/Dream On.mid
Depeche Mode,Dreaming of Me.1.mid,135.000135000135,True,1334,9,/Users/donghyunhahn/Desktop/spring 2026/cse 153/Assignment 2/data/clean_midi/Depeche Mode/Dreaming of Me.1.mid
Depeche Mode,Dreaming of Me.2.mid,130.00013000013,True,1713,13,/Users/donghyunhahn/Desktop/spring 2026/cse 153/Assignment 2/data/clean_midi/Depeche Mode/Dreaming of Me.2.mid
Depeche Mode,Dreaming of Me.mid,135.000135000135,True,1334,9,/Users/donghyunhahn/Desktop/spring 2026/cse 153/Assignment 2/data/clean_midi/Depeche Mode/Dreaming of Me.mid
Depeche Mode,Enjoy the Silence.1.mid,120.0,True,2517,15,/Users/donghyunhahn/Desktop/spring 2026/cse 153/Assignment 2/data/clean_midi/Depeche Mode/Enjoy the Silence.1.mid
Depeche Mode,Enjoy the Silence.mid,115.00201253521936,True,1826,9,/Users/donghyunhahn/Desktop/spring 2026/cse 153/Assignment 2/data/clean_midi/Depeche Mode/Enjoy the Silence.mid
Depeche Mode,Everything Counts.1.mid,108.000108000108,True,1908,4,/Users/donghyunhahn/Desktop/spring 2026/cse 153/Assignment 2/data/clean_midi/Depeche Mode/Everything Counts.1.mid
Depeche Mode,Everything Counts.2.mid,109.00014170018422,True,1836,17,/Users/donghyunhahn/Desktop/spring 2026/cse 153/Assignment 2/data/clean_midi/Depeche Mode/Everything Counts.2.mid
Depeche Mode,Everything Counts.mid,108.000108000108,True,1908,8,/Users/donghyunhahn/Desktop/spring 2026/cse 153/Assignment 2/data/clean_midi/Depeche Mode/Everything Counts.mid
Depeche Mode,Fly on the Windscreen (Final).mid,94.99999208333399,True,2365,15,/Users/donghyunhahn/Desktop/spring 2026/cse 153/Assignment 2/data/clean_midi/Depeche Mode/Fly on the Windscreen (Final).mid
Depeche Mode,I Sometimes Wish I Was Dead.mid,127.00025400050801,True,276,16,/Users/donghyunhahn/Desktop/spring 2026/cse 153/Assignment 2/data/clean_midi/Depeche Mode/I Sometimes Wish I Was Dead.mid
Depeche Mode,Ice Machine.1.mid,135.000135000135,True,1529,8,/Users/donghyunhahn/Desktop/spring 2026/cse 153/Assignment 2/data/clean_midi/Depeche Mode/Ice Machine.1.mid
Depeche Mode,Ice Machine.mid,112.00005973336519,True,907,5,/Users/donghyunhahn/Desktop/spring 2026/cse 153/Assignment 2/data/clean_midi/Depeche Mode/Ice Machine.mid
Depeche Mode,In Your Room.mid,99.000099000099,True,3141,15,/Users/donghyunhahn/Desktop/spring 2026/cse 153/Assignment 2/data/clean_midi/Depeche Mode/In Your Room.mid
Depeche Mode,It's No Good.mid,99.19995238402284,True,4501,18,/Users/donghyunhahn/Desktop/spring 2026/cse 153/Assignment 2/data/clean_midi/Depeche Mode/It's No Good.mid
Depeche Mode,Just Can't Get Enough.1.mid,130.00013000013,True,888,11,/Users/donghyunhahn/Desktop/spring 2026/cse 153/Assignment 2/data/clean_midi/Depeche Mode/Just Can't Get Enough.1.mid
Depeche Mode,Just Can't Get Enough.2.mid,128.0,True,1252,13,/Users/donghyunhahn/Desktop/spring 2026/cse 153/Assignment 2/data/clean_midi/Depeche Mode/Just Can't Get Enough.2.mid
Depeche Mode,Just Can't Get Enough.3.mid,130.0023833770286,True,1377,9,/Users/donghyunhahn/Desktop/spring 2026/cse 153/Assignment 2/data/clean_midi/Depeche Mode/Just Can't Get Enough.3.mid
Depeche Mode,Just Can't Get Enough.mid,130.00013000013,True,1377,9,/Users/donghyunhahn/Desktop/spring 2026/cse 153/Assignment 2/data/clean_midi/Depeche Mode/Just Can't Get Enough.mid
Depeche Mode,Master and Servant.1.mid,126.00012600012599,True,1180,6,/Users/donghyunhahn/Desktop/spring 2026/cse 153/Assignment 2/data/clean_midi/Depeche Mode/Master and Servant.1.mid
Depeche Mode,Master and Servant.2.mid,126.00012600012602,True,1924,10,/Users/donghyunhahn/Desktop/spring 2026/cse 153/Assignment 2/data/clean_midi/Depeche Mode/Master and Servant.2.mid
Depeche Mode,Master and Servant.mid,126.00012600012602,True,1180,5,/Users/donghyunhahn/Desktop/spring 2026/cse 153/Assignment 2/data/clean_midi/Depeche Mode/Master and Servant.mid
Depeche Mode,Never Let Me Down Again.mid,109.00014170018423,True,3107,12,/Users/donghyunhahn/Desktop/spring 2026/cse 153/Assignment 2/data/clean_midi/Depeche Mode/Never Let Me Down Again.mid
Depeche Mode,New Life (remix).mid,159.0002067002687,True,3636,16,/Users/donghyunhahn/Desktop/spring 2026/cse 153/Assignment 2/data/clean_midi/Depeche Mode/New Life (remix).mid
Depeche Mode,New Life.mid,159.0002067002687,True,3152,14,/Users/donghyunhahn/Desktop/spring 2026/cse 153/Assignment 2/data/clean_midi/Depeche Mode/New Life.mid
Depeche Mode,No Disco.mid,123.00022140039853,True,765,11,/Users/donghyunhahn/Desktop/spring 2026/cse 153/Assignment 2/data/clean_midi/Depeche Mode/No Disco.mid
Depeche Mode,People Are People.mid,120.0,True,990,16,/Users/donghyunhahn/Desktop/spring 2026/cse 153/Assignment 2/data/clean_midi/Depeche Mode/People Are People.mid
Depeche Mode,Personal Jesus.mid,135.06668917778154,True,4260,6,/Users/donghyunhahn/Desktop/spring 2026/cse 153/Assignment 2/data/clean_midi/Depeche Mode/Personal Jesus.mid
Depeche Mode,Photographic.1.mid,120.0,True,1696,7,/Users/donghyunhahn/Desktop/spring 2026/cse 153/Assignment 2/data/clean_midi/Depeche Mode/Photographic.1.mid
Depeche Mode,Photographic.2.mid,155.00271254746957,True,856,9,/Users/donghyunhahn/Desktop/spring 2026/cse 153/Assignment 2/data/clean_midi/Depeche Mode/Photographic.2.mid
Depeche Mode,Photographic.3.mid,146.00032120070665,True,856,10,/Users/donghyunhahn/Desktop/spring 2026/cse 153/Assignment 2/data/clean_midi/Depeche Mode/Photographic.3.mid
Depeche Mode,Photographic.mid,150.0,True,824,11,/Users/donghyunhahn/Desktop/spring 2026/cse 153/Assignment 2/data/clean_midi/Depeche Mode/Photographic.mid
Depeche Mode,Pipeline.mid,80.0,True,504,10,/Users/donghyunhahn/Desktop/spring 2026/cse 153/Assignment 2/data/clean_midi/Depeche Mode/Pipeline.mid
Depeche Mode,Policy of Truth.1.mid,110.00011000011,True,308,10,/Users/donghyunhahn/Desktop/spring 2026/cse 153/Assignment 2/data/clean_midi/Depeche Mode/Policy of Truth.1.mid
Depeche Mode,Policy of Truth.mid,120.0,True,1748,6,/Users/donghyunhahn/Desktop/spring 2026/cse 153/Assignment 2/data/clean_midi/Depeche Mode/Policy of Truth.mid
Depeche Mode,Puppets.1.mid,120.0,True,1120,16,/Users/donghyunhahn/Desktop/spring 2026/cse 153/Assignment 2/data/clean_midi/Depeche Mode/Puppets.1.mid
Depeche Mode,Puppets.mid,120.0,True,1908,12,/Users/donghyunhahn/Desktop/spring 2026/cse 153/Assignment 2/data/clean_midi/Depeche Mode/Puppets.mid
Depeche Mode,Shake the Disease.1.mid,120.0,True,1529,4,/Users/donghyunhahn/Desktop/spring 2026/cse 153/Assignment 2/data/clean_midi/Depeche Mode/Shake the Disease.1.mid
Depeche Mode,Shout (Rio mix).mid,118.50002666250599,True,5766,16,/Users/donghyunhahn/Desktop/spring 2026/cse 153/Assignment 2/data/clean_midi/Depeche Mode/Shout (Rio mix).mid
Depeche Mode,Shout.mid,118.50002666250599,True,3007,11,/Users/donghyunhahn/Desktop/spring 2026/cse 153/Assignment 2/data/clean_midi/Depeche Mode/Shout.mid
Depeche Mode,Strange Love.1.mid,120.0,True,1033,7,/Users/donghyunhahn/Desktop/spring 2026/cse 153/Assignment 2/data/clean_midi/Depeche Mode/Strange Love.1.mid
Depeche Mode,Strange Love.mid,120.0,True,1033,4,/Users/donghyunhahn/Desktop/spring 2026/cse 153/Assignment 2/data/clean_midi/Depeche Mode/Strange Love.mid
Depeche Mode,Strangelove.1.mid,120.0,True,1033,7,/Users/donghyunhahn/Desktop/spring 2026/cse 153/Assignment 2/data/clean_midi/Depeche Mode/Strangelove.1.mid
Depeche Mode,Strangelove.mid,120.0,True,1033,4,/Users/donghyunhahn/Desktop/spring 2026/cse 153/Assignment 2/data/clean_midi/Depeche Mode/Strangelove.mid
Depeche Mode,The Things You Said.1.mid,110.00011000011,True,677,4,/Users/donghyunhahn/Desktop/spring 2026/cse 153/Assignment 2/data/clean_midi/Depeche Mode/The Things You Said.1.mid
Depeche Mode,The Things You Said.mid,115.0000287500072,True,596,6,/Users/donghyunhahn/Desktop/spring 2026/cse 153/Assignment 2/data/clean_midi/Depeche Mode/The Things You Said.mid
Depeche Mode,Tora! Tora! Tora!.1.mid,118.00013373348487,True,3887,15,/Users/donghyunhahn/Desktop/spring 2026/cse 153/Assignment 2/data/clean_midi/Depeche Mode/Tora! Tora! Tora!.1.mid
Depeche Mode,Walking in My Shoes.mid,94.00115934763195,True,3557,14,/Users/donghyunhahn/Desktop/spring 2026/cse 153/Assignment 2/data/clean_midi/Depeche Mode/Walking in My Shoes.mid
Duran Duran,A View To A Kill.1.mid,126.99998518333504,True,1148,16,/Users/donghyunhahn/Desktop/spring 2026/cse 153/Assignment 2/data/clean_midi/Duran Duran/A View To A Kill.1.mid
Duran Duran,A View To A Kill.2.mid,126.99003974788243,True,1148,19,/Users/donghyunhahn/Desktop/spring 2026/cse 153/Assignment 2/data/clean_midi/Duran Duran/A View To A Kill.2.mid
Duran Duran,A View To A Kill.3.mid,126.99998518333504,True,1148,16,/Users/donghyunhahn/Desktop/spring 2026/cse 153/Assignment 2/data/clean_midi/Duran Duran/A View To A Kill.3.mid
Duran Duran,A View To A Kill.mid,126.99003974788243,True,1148,19,/Users/donghyunhahn/Desktop/spring 2026/cse 153/Assignment 2/data/clean_midi/Duran Duran/A View To A Kill.mid
Duran Duran,Come Undone.2.mid,100.05002501250625,True,2463,9,/Users/donghyunhahn/Desktop/spring 2026/cse 153/Assignment 2/data/clean_midi/Duran Duran/Come Undone.2.mid
Duran Duran,Come Undone.3.mid,100.05002501250625,True,2463,9,/Users/donghyunhahn/Desktop/spring 2026/cse 153/Assignment 2/data/clean_midi/Duran Duran/Come Undone.3.mid
Duran Duran,Come Undone.4.mid,100.05002501250625,True,2467,10,/Users/donghyunhahn/Desktop/spring 2026/cse 153/Assignment 2/data/clean_midi/Duran Duran/Come Undone.4.mid
Duran Duran,Come Undone.5.mid,100.04935768312367,True,2467,9,/Users/donghyunhahn/Desktop/spring 2026/cse 153/Assignment 2/data/clean_midi/Duran Duran/Come Undone.5.mid
Duran Duran,Come Undone.mid,87.00065250489381,True,4074,13,/Users/donghyunhahn/Desktop/spring 2026/cse 153/Assignment 2/data/clean_midi/Duran Duran/Come Undone.mid
Duran Duran,Downtown.mid,120.0,True,1835,8,/Users/donghyunhahn/Desktop/spring 2026/cse 153/Assignment 2/data/clean_midi/Duran Duran/Downtown.mid
Duran Duran,Girls On Film.mid,132.20023046906846,True,2300,9,/Users/donghyunhahn/Desktop/spring 2026/cse 153/Assignment 2/data/clean_midi/Duran Duran/Girls On Film.mid
Duran Duran,Girls on Film.1.mid,105.00157502362535,True,1857,8,/Users/donghyunhahn/Desktop/spring 2026/cse 153/Assignment 2/data/clean_midi/Duran Duran/Girls on Film.1.mid
Duran Duran,Hungry Like The Wolf (Night Version).mid,134.00005806669182,True,1210,9,/Users/donghyunhahn/Desktop/spring 2026/cse 153/Assignment 2/data/clean_midi/Duran Duran/Hungry Like The Wolf (Night Version).mid
Duran Duran,Hungry Like a Wolf.1.mid,120.0,True,1646,9,/Users/donghyunhahn/Desktop/spring 2026/cse 153/Assignment 2/data/clean_midi/Duran Duran/Hungry Like a Wolf.1.mid
Duran Duran,Hungry Like a Wolf.mid,120.0,True,1646,9,/Users/donghyunhahn/Desktop/spring 2026/cse 153/Assignment 2/data/clean_midi/Duran Duran/Hungry Like a Wolf.mid
Duran Duran,New Moon on Monday.1.mid,120.0,True,2524,16,/Users/donghyunhahn/Desktop/spring 2026/cse 153/Assignment 2/data/clean_midi/Duran Duran/New Moon on Monday.1.mid
Duran Duran,New Moon on Monday.mid,120.0,True,2524,16,/Users/donghyunhahn/Desktop/spring 2026/cse 153/Assignment 2/data/clean_midi/Duran Duran/New Moon on Monday.mid
Duran Duran,Notorious.1.mid,107.00012661681652,True,2146,10,/Users/donghyunhahn/Desktop/spring 2026/cse 153/Assignment 2/data/clean_midi/Duran Duran/Notorious.1.mid
Duran Duran,Notorious.2.mid,107.00012661681652,True,2145,9,/Users/donghyunhahn/Desktop/spring 2026/cse 153/Assignment 2/data/clean_midi/Duran Duran/Notorious.2.mid
Duran Duran,Notorious.mid,107.00146235331883,True,2146,9,/Users/donghyunhahn/Desktop/spring 2026/cse 153/Assignment 2/data/clean_midi/Duran Duran/Notorious.mid
Duran Duran,Notorius.mid,107.00012661681652,True,2145,7,/Users/donghyunhahn/Desktop/spring 2026/cse 153/Assignment 2/data/clean_midi/Duran Duran/Notorius.mid
Duran Duran,Ordinary World.2.mid,70.00023333411112,True,1413,11,/Users/donghyunhahn/Desktop/spring 2026/cse 153/Assignment 2/data/clean_midi/Duran Duran/Ordinary World.2.mid
Duran Duran,Ordinary World.mid,138.000828004968,True,1732,6,/Users/donghyunhahn/Desktop/spring 2026/cse 153/Assignment 2/data/clean_midi/Duran Duran/Ordinary World.mid
Duran Duran,Rio.1.mid,131.00007641671124,True,3303,16,/Users/donghyunhahn/Desktop/spring 2026/cse 153/Assignment 2/data/clean_midi/Duran Duran/Rio.1.mid
Duran Duran,Rio.mid,131.00007641671124,True,3303,16,/Users/donghyunhahn/Desktop/spring 2026/cse 153/Assignment 2/data/clean_midi/Duran Duran/Rio.mid
Duran Duran,Save a Prayer.1.mid,113.00009605008167,True,1883,8,/Users/donghyunhahn/Desktop/spring 2026/cse 153/Assignment 2/data/clean_midi/Duran Duran/Save a Prayer.1.mid
Duran Duran,Save a Prayer.mid,113.00009605008167,True,1883,7,/Users/donghyunhahn/Desktop/spring 2026/cse 153/Assignment 2/data/clean_midi/Duran Duran/Save a Prayer.mid
Duran Duran,The Chauffeur.1.mid,82.00003553334875,True,2455,17,/Users/donghyunhahn/Desktop/spring 2026/cse 153/Assignment 2/data/clean_midi/Duran Duran/The Chauffeur.1.mid
Duran Duran,The Chauffeur.mid,89.99995500002248,True,1601,5,/Users/donghyunhahn/Desktop/spring 2026/cse 153/Assignment 2/data/clean_midi/Duran Duran/The Chauffeur.mid
Duran Duran,The Reflex.1.mid,122.99996925000767,True,3512,14,/Users/donghyunhahn/Desktop/spring 2026/cse 153/Assignment 2/data/clean_midi/Duran Duran/The Reflex.1.mid
Duran Duran,The Reflex.2.mid,122.99996925000767,True,3512,14,/Users/donghyunhahn/Desktop/spring 2026/cse 153/Assignment 2/data/clean_midi/Duran Duran/The Reflex.2.mid
Duran Duran,The Reflex.mid,123.00022140039853,True,3512,14,/Users/donghyunhahn/Desktop/spring 2026/cse 153/Assignment 2/data/clean_midi/Duran Duran/The Reflex.mid
Duran Duran,The Wild Boys.1.mid,116.99988885010558,True,2998,11,/Users/donghyunhahn/Desktop/spring 2026/cse 153/Assignment 2/data/clean_midi/Duran Duran/The Wild Boys.1.mid
Duran Duran,The Wild Boys.mid,116.99988885010558,True,2998,11,/Users/donghyunhahn/Desktop/spring 2026/cse 153/Assignment 2/data/clean_midi/Duran Duran/The Wild Boys.mid
Duran Duran,Union of the Snake.1.mid,107.50001437500359,True,2713,13,/Users/donghyunhahn/Desktop/spring 2026/cse 153/Assignment 2/data/clean_midi/Duran Duran/Union of the Snake.1.mid
Duran Duran,Union of the Snake.mid,117.50001437500359,True,2713,13,/Users/donghyunhahn/Desktop/spring 2026/cse 153/Assignment 2/data/clean_midi/Duran Duran/Union of the Snake.mid
Erasure,A Little Respect.1.mid,113.99995440001827,True,1267,14,/Users/donghyunhahn/Desktop/spring 2026/cse 153/Assignment 2/data/clean_midi/Erasure/A Little Respect.1.mid
Erasure,A Little Respect.2.mid,114.00125401379417,True,1267,11,/Users/donghyunhahn/Desktop/spring 2026/cse 153/Assignment 2/data/clean_midi/Erasure/A Little Respect.2.mid
Erasure,A Little Respect.3.mid,114.00017100025649,True,1267,11,/Users/donghyunhahn/Desktop/spring 2026/cse 153/Assignment 2/data/clean_midi/Erasure/A Little Respect.3.mid
Erasure,A Little Respect.4.mid,114.00017100025649,True,1267,14,/Users/donghyunhahn/Desktop/spring 2026/cse 153/Assignment 2/data/clean_midi/Erasure/A Little Respect.4.mid
Erasure,A Little Respect.mid,114.00017100025649,True,1267,14,/Users/donghyunhahn/Desktop/spring 2026/cse 153/Assignment 2/data/clean_midi/Erasure/A Little Respect.mid
Erasure,Abba-Esque (Take a Chance On Me).mid,122.00180562672327,True,4603,8,/Users/donghyunhahn/Desktop/spring 2026/cse 153/Assignment 2/data/clean_midi/Erasure/Abba-Esque (Take a Chance On Me).mid
Erasure,Always.1.mid,104.00001386666852,True,1599,17,/Users/donghyunhahn/Desktop/spring 2026/cse 153/Assignment 2/data/clean_midi/Erasure/Always.1.mid
Erasure,Always.2.mid,104.00001386666852,True,1599,17,/Users/donghyunhahn/Desktop/spring 2026/cse 153/Assignment 2/data/clean_midi/Erasure/Always.2.mid
Erasure,Always.3.mid,104.00001386666852,True,1599,13,/Users/donghyunhahn/Desktop/spring 2026/cse 153/Assignment 2/data/clean_midi/Erasure/Always.3.mid
Erasure,Always.mid,103.00075533887248,True,2084,14,/Users/donghyunhahn/Desktop/spring 2026/cse 153/Assignment 2/data/clean_midi/Erasure/Always.mid
Erasure,Blue Savannah.1.mid,135.000135000135,True,2693,16,/Users/donghyunhahn/Desktop/spring 2026/cse 153/Assignment 2/data/clean_midi/Erasure/Blue Savannah.1.mid
